Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-25,NBA,HOU,52,30,1,,21,20,17,,82,14,11,1,21,22,20,21,9,2,27,20,8,30,1,8,1,28,10,13,11,20,13
2023-24,NBA,HOU,41,41,3,,21,27,20,,82,3,19,5,27,14,12,23,17,11,23,9,5,20,6,6,3,25,8,24,8,29,16
2022-23,NBA,HOU,22,60,4,,30,6,21,,82,25,25,14,28,29,22,30,13,11,24,10,4,25,1,17,4,30,13,18,29,21,28
2021-22,NBA,HOU,20,62,5,,26,30,23,,82,19,24,22,24,7,4,21,28,28,10,10,1,30,21,28,30,23,17,15,30,26,19
2020-21,NBA,HOU,17,55,5,,13,30,9,,72,24,25,15,28,9,3,28,28,28,15,17,10,27,23,24,27,24,14,14,23,21,24
2019-20,NBA,HOU,44,28,1,,2,30,14,,72,16,16,7,22,2,1,24,26,30,2,2,2,8,16,18,16,24,3,10,19,25,4
2018-19,NBA,HOU,53,29,1,,1,30,14,,82,11,25,26,24,1,1,12,30,30,3,3,7,9,14,29,28,28,5,18,6,25,11
2017-18,NBA,HOU,65,17,1,,2,24,4,,82,18,22,27,15,1,1,14,30,30,2,2,3,9,24,10,18,26,5,15,11,12,2
2016-17,NBA,HOU,55,27,2,,9,21,14,,82,18,4,7,12,1,1,15,29,30,2,2,1,20,9,15,8,3,8,20,25,15,2
2015-16,NBA,HOU,41,41,4,,8,24,21,,82,11,20,23,14,3,2,19,28,30,5,3,1,27,7,27,20,16,1,13,27,28,4
2014-15,NBA,HOU,56,26,1,,11,17,28,,82,20,21,12,20,1,1,14,29,30,5,5,2,27,7,18,14,9,3,10,28,27,6
2013-14,NBA,HOU,54,28,2,,21,12,18,,82,15,15,26,5,1,1,16,25,30,2,1,1,28,15,3,4,18,17,3,29,15,2
