Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-25,NBA,PHO,36,46,5,,3,24,6,,82,6,18,26,11,7,12,3,22,26,9,18,22,2,28,18,25,10,28,16,15,10,18
2023-24,NBA,PHO,49,33,2,,3,10,1,,82,17,13,27,5,20,25,5,8,16,10,3,6,6,19,7,10,12,18,6,25,8,10
2022-23,NBA,PHO,45,37,2,,4,24,16,,82,22,15,9,23,13,17,7,15,9,29,26,27,10,5,19,11,4,16,5,11,26,17
2021-22,NBA,PHO,64,18,1,,8,17,18,,82,24,1,6,1,21,26,9,1,3,4,24,27,7,19,5,10,4,6,22,7,19,5
2020-21,NBA,PHO,51,21,1,,10,20,26,,72,1,2,16,2,13,15,7,9,16,2,28,29,2,28,18,23,3,19,25,4,14,7
2019-20,NBA,PHO,34,39,3,,24,9,28,,73,6,8,13,9,16,17,16,6,9,9,3,8,1,15,19,17,1,11,27,22,29,7
2018-19,NBA,PHO,19,63,5,,28,3,27,,82,4,22,25,16,28,23,30,15,14,12,17,20,13,28,30,30,20,2,15,28,29,23
2017-18,NBA,PHO,21,61,5,,29,7,25,,82,27,24,7,28,23,20,30,15,9,24,7,6,27,8,15,12,29,27,21,28,28,21
2016-17,NBA,PHO,24,58,5,,26,23,14,,82,10,6,2,19,29,28,27,1,1,24,1,2,15,4,18,6,29,6,13,27,30,9
2015-16,NBA,PHO,23,59,4,,19,12,6,,82,29,23,11,28,11,12,18,21,19,26,13,13,20,5,15,7,24,17,28,30,30,22
2014-15,NBA,PHO,39,43,3,,22,28,18,,82,8,7,6,15,10,10,21,15,18,10,21,21,11,13,14,17,27,6,12,25,23,11
2013-14,NBA,PHO,48,34,3,,15,15,12,,82,25,10,12,8,6,4,8,21,25,7,9,9,16,14,16,13,29,7,17,26,23,7
2012-13,NBA,PHO,25,57,5,,12,4,8,,82,16,13,3,23,26,23,28,4,4,22,27,28,20,12,23,18,13,15,13,29,22,21
2011-12,NBA,PHO,33,33,3,,4,5,3,,66,30,5,9,6,13,15,17,11,15,5,19,21,14,21,16,19,6,27,5,9,9,8
2010-11,NBA,PHO,40,42,2,,3,1,8,,82,1,2,7,7,3,3,4,13,24,6,19,20,18,25,17,23,3,25,22,19,13,4
