Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-25,NBA,GSW,48,34,3,,5,30,25,,82,23,21,8,25,4,2,16,27,27,23,17,13,25,5,19,7,4,4,17,14,23,17
2023-24,NBA,GSW,46,36,5,,4,30,29,,82,7,5,3,13,2,4,7,20,21,13,24,27,17,5,4,1,4,23,23,23,22,8
2022-23,NBA,GSW,44,38,4,,11,28,29,,82,12,5,8,12,1,1,2,28,28,6,29,30,9,14,7,8,1,14,25,30,28,2
2021-22,NBA,GSW,53,29,2,,7,27,30,,82,24,17,21,10,3,3,8,24,29,3,26,26,17,20,2,7,5,4,18,29,27,15
2020-21,NBA,GSW,39,33,4,,9,26,30,,72,24,15,17,14,3,5,9,24,25,11,16,21,13,30,12,22,1,6,17,26,28,12
2019-20,NBA,GSW,15,50,5,,26,20,12,,65,27,29,27,29,29,28,29,25,19,29,21,24,4,25,27,27,18,18,23,8,4,29
2018-19,NBA,GSW,57,25,1,,3,5,20,,82,15,1,13,1,3,8,3,12,22,2,23,28,5,21,3,11,1,15,1,21,22,2
2017-18,NBA,GSW,58,24,1,,4,5,6,,82,23,1,24,1,8,17,1,5,20,1,18,22,1,28,7,17,1,9,1,26,15,1
2016-17,NBA,GSW,67,15,1,,5,15,14,,82,18,1,9,1,4,5,3,5,22,1,17,18,11,20,3,7,1,1,1,22,12,1
2015-16,NBA,GSW,73,9,1,,10,18,30,,82,5,1,3,1,1,1,1,16,26,1,22,23,16,21,1,4,1,9,2,24,19,1
2014-15,NBA,GSW,67,15,1,,16,12,26,,82,26,1,3,1,2,4,1,10,21,2,23,26,9,23,4,6,1,4,2,18,13,1
2013-14,NBA,GSW,51,31,2,,12,8,21,,82,15,3,6,9,2,6,4,13,20,10,26,24,19,17,2,5,7,13,10,22,22,10
2012-13,NBA,GSW,47,35,2,,22,8,8,,82,16,6,9,11,8,13,1,16,14,18,14,18,4,22,1,3,14,27,27,24,29,7
2011-12,NBA,GSW,23,43,4,,24,24,22,,66,23,7,10,7,3,9,2,18,18,12,29,29,11,29,24,28,9,11,6,4,27,12
2010-11,NBA,GSW,36,46,3,,21,21,30,,82,12,1,1,14,4,6,2,11,10,19,30,30,17,10,26,19,7,2,12,23,24,7
2009-10,NBA,GSW,26,56,4,,25,30,30,,82,26,2,1,8,7,7,4,5,7,10,5,11,5,29,27,30,5,1,25,19,30,2
2008-09,NBA,GSW,29,53,3,,26,21,30,,82,7,3,3,12,15,18,11,4,2,16,1,2,8,9,14,11,15,6,1,21,25,2
2007-08,NBA,GSW,48,34,3,,23,25,23,,82,18,1,1,12,2,1,23,6,12,6,14,16,18,5,14,6,8,2,19,7,27,1
2006-07,NBA,GSW,42,40,3,,27,21,13,,82,27,2,1,12,3,1,14,9,21,4,21,17,26,12,16,10,4,1,3,23,26,2
2005-06,NBA,GSW,34,48,5,,19,18,5,,82,17,19,3,28,2,2,22,26,24,24,21,12,26,8,12,5,16,9,18,12,23,11
2004-05,NBA,GSW,34,48,5,,16,21,9,,82,5,9,1,28,5,4,16,21,16,26,28,27,27,5,17,10,8,11,15,5,14,13
2003-04,NBA,GSW,37,45,4,,7,20,7,,82,7,14,18,15,12,10,24,14,21,9,17,13,26,14,8,7,18,25,17,13,7,13
2002-03,NBA,GSW,38,44,6,,27,24,8,,82,26,5,3,16,13,13,17,6,6,15,1,1,5,1,8,1,18,23,3,23,17,2
2001-02,NBA,GSW,21,61,7,,28,12,3,,82,20,11,2,26,24,23,27,4,1,27,2,2,26,1,13,1,24,14,4,29,28,7
2000-01,NBA,GSW,17,65,7,,22,25,14,,82,21,14,1,29,26,21,29,4,1,29,24,15,27,1,24,2,15,4,17,25,6,20
1999-00,NBA,GSW,19,63,6,,20,26,16,,82,22,17,2,28,17,15,27,10,4,28,20,9,27,1,21,2,15,7,24,20,26,22
1998-99,NBA,GSW,21,29,6,,15,28,17,,50,8,14,3,26,25,23,28,5,2,26,28,26,29,1,4,1,15,17,20,14,29,25
1997-98,NBA,GSW,19,63,6,,23,27,6,,82,10,25,3,29,29,28,29,10,1,29,28,27,25,2,3,1,21,25,9,24,16,29
1996-97,NBA,GSW,30,52,7,,19,18,26,,82,5,11,12,12,16,15,20,10,13,12,4,8,1,10,22,15,12,25,20,27,12,9
1995-96,NBA,GSW,36,46,6,,19,18,28,,82,21,16,6,22,20,19,12,14,6,23,5,5,8,5,19,11,13,7,9,19,11,13
1994-95,NBA,GSW,26,56,6,,20,24,18,,82,5,8,8,11,4,2,23,15,18,7,10,5,25,10,12,7,9,18,18,27,5,6
1993-94,NBA,GSW,50,32,3,,26,26,12,,82,8,1,4,1,11,10,11,1,8,2,19,8,27,9,13,9,3,4,4,24,13,2
1992-93,NBA,GSW,34,48,6,,25,24,5,,82,4,5,7,12,8,9,10,8,14,9,13,6,26,10,15,10,17,11,19,26,24,3
